City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
394,Saint-Jean-Port-Joli,CA,75.88,overcast clouds,47.2171,-70.2658,Motel Blanche d'Haberville
395,Eirunepe,BR,78.46,overcast clouds,-6.6603,-69.8736,Atrás de você
396,Hamilton,US,71.11,heavy intensity rain,39.1834,-84.5333,Six Acres Bed & Breakfast
398,Sechura,PE,66.34,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
399,Ust-Uda,RU,64.06,scattered clouds,54.1742,103.0304,Gostinitsa Ust'-Uda Shans
400,Iztapa,GT,73.45,clear sky,13.9333,-90.7075,Villas de Puerto Viejo
405,Fandriana,MG,62.46,clear sky,-20.2333,47.3833,Fandriana
406,Yerbogachen,RU,62.17,overcast clouds,61.2767,108.0108,
407,Port Keats,AU,73.15,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
409,Manta,EC,71.76,overcast clouds,-0.95,-80.7333,Balandra Hotel
410,Hellvik,NO,63.77,broken clouds,59.9156,5.781,Rabben feriesenter AS
411,Balakhta,RU,68.94,few clouds,55.38,91.6,Bereg
416,Rabo De Peixe,PT,67.51,scattered clouds,37.8,-25.5833,Quinta das Giestas
419,Dingle,PH,79.14,light rain,10.9995,122.6711,SEGAYA PROPERTY
422,Richards Bay,ZA,75.25,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
423,Sao Gabriel Da Cachoeira,BR,75.0,mist,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
426,Sept-Iles,CA,61.23,broken clouds,50.2001,-66.3821,Comfort Inn
428,Leshukonskoye,RU,74.05,scattered clouds,64.8989,45.7622,Pryalitsa Hostel
430,Miguel Auza,MX,62.56,overcast clouds,24.2933,-103.4503,Hotel Del Centro
432,Rantepao,ID,67.5,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
434,Mokrousovo,RU,61.21,moderate rain,55.8103,66.7653,Tserkov'
438,Mabaruma,GY,79.81,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
439,Xining,CN,64.51,few clouds,36.6167,101.7667,Super Leisure Hotel
441,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
445,Kitaibaraki,JP,73.35,overcast clouds,36.7833,140.75,Isohara Seaside Hotel
446,Shingu,JP,79.92,overcast clouds,33.7333,135.9833,Shingu UI Hotel
447,Ayagoz,KZ,74.57,overcast clouds,47.9714,80.4392,Gostinitsa Nur
450,Takoradi,GH,78.78,broken clouds,4.8845,-1.7554,Raybow International Hotel
451,Monduli,TZ,69.8,overcast clouds,-3.3,36.45,Monduli Lutheran Youth Hostel
458,Gamba,GA,78.39,overcast clouds,-2.65,10.0,
459,Blyth,GB,73.29,scattered clouds,55.1271,-1.5086,Carlton house
460,Palmer,US,70.99,mist,42.1584,-72.3287,Wedgewood Motel
461,Orissaare,EE,75.96,clear sky,58.5592,23.0826,Vanatoa Tourism Farm
