City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Healdsburg,US,2021-07-11 10:39:41,38.6105,-122.8692,79.52,36,0,0.81
141,Neiafu,TO,2021-07-11 10:39:41,-18.65,-173.9833,77.27,84,5,15.46
142,Qaanaaq,GL,2021-07-11 10:32:57,77.484,-69.3632,35.98,75,51,2.33
143,Cobija,BO,2021-07-11 10:39:42,-11.0267,-68.7692,71.76,71,89,1.54
144,Ribeira Grande,PT,2021-07-11 10:31:49,38.5167,-28.7,70.2,56,20,19.57
145,Camopi,GF,2021-07-11 10:32:26,3.1655,-52.3158,72.09,98,80,1.07
146,Kieta,PG,2021-07-11 10:37:39,-6.2167,155.6333,79.11,84,92,5.59
147,Gamba,GA,2021-07-11 10:39:42,-2.65,10.0,78.33,73,67,8.21
148,Hamilton,US,2021-07-11 10:36:54,39.1834,-84.5333,70.65,95,40,1.01
149,Barrow,US,2021-07-11 10:32:55,71.2906,-156.7887,33.82,78,90,14.97
150,Oktyabrskiy,RU,2021-07-11 10:39:42,54.4815,53.471,73.98,43,13,13.65
151,Chokwe,MZ,2021-07-11 10:39:43,-24.5333,32.9833,82.54,29,0,4.79
152,Rocha,UY,2021-07-11 10:33:11,-34.4833,-54.3333,40.91,61,0,4.41
153,Ocean City,US,2021-07-11 10:39:43,39.2776,-74.5746,71.98,88,58,2.1
154,Vao,NC,2021-07-11 10:37:29,-22.6667,167.4833,69.96,66,36,25.55
155,Nanortalik,GL,2021-07-11 10:33:40,60.1432,-45.2371,41.85,95,100,2.68
156,Hudson Bay,CA,2021-07-11 10:39:43,52.85,-102.3842,63.61,66,0,4.94
157,Khasan,RU,2021-07-11 10:39:44,42.4308,130.6434,69.13,96,40,4.83
158,Broome,US,2021-07-11 10:34:16,42.2506,-75.833,62.47,88,91,2.3
159,Muramatsu,JP,2021-07-11 10:39:44,37.6833,139.1833,76.26,96,98,3.98
160,Kirkwood,US,2021-07-11 10:32:40,38.5834,-90.4068,69.39,93,90,0.0
161,Adrar,MR,2021-07-11 10:37:33,20.5022,-10.0711,95.32,21,50,14.61
162,Lubango,AO,2021-07-11 10:33:45,-14.9172,13.4925,73.85,15,2,4.36
163,Soe,ID,2021-07-11 10:39:44,-9.8607,124.284,64.78,87,82,6.78
164,Tuim,RU,2021-07-11 10:39:44,54.3417,89.9261,72.32,52,74,8.32
165,Pare,ID,2021-07-11 10:39:45,-7.7679,112.198,77.32,82,20,5.03
166,Cabo San Lucas,MX,2021-07-11 10:31:29,22.8909,-109.9124,82.51,56,19,4.0
167,Klaksvik,FO,2021-07-11 10:33:08,62.2266,-6.589,54.52,99,100,10.29
168,Berezovyy,RU,2021-07-11 10:39:45,51.6667,135.7,72.79,85,89,2.46
169,Cavadinesti,RO,2021-07-11 10:39:45,46.0667,28.0169,87.42,36,17,9.71
170,Airai,TL,2021-07-11 10:33:00,-8.9266,125.4092,57.4,86,88,4.03
171,Hermanus,ZA,2021-07-11 10:33:05,-34.4187,19.2345,64.8,55,0,5.44
172,Maldonado,UY,2021-07-11 10:39:46,-34.6667,-54.9167,38.59,67,0,5.14
173,Anadyr,RU,2021-07-11 10:39:46,64.75,177.4833,61.3,77,0,2.24
174,La Ronge,CA,2021-07-11 10:39:46,55.1001,-105.2842,68.25,64,20,3.44
175,Mount Gambier,AU,2021-07-11 10:31:34,-37.8333,140.7667,53.51,58,90,14.97
176,Ancud,CL,2021-07-11 10:33:02,-41.8697,-73.8203,46.22,88,100,3.98
177,Moree,AU,2021-07-11 10:39:46,-29.4667,149.85,50.02,81,1,4.61
178,Whitehorse,CA,2021-07-11 10:39:47,60.7161,-135.0538,47.17,65,40,10.0
179,Norman Wells,CA,2021-07-11 10:33:53,65.282,-126.8329,55.44,71,75,2.3
180,Coihaique,CL,2021-07-11 10:33:22,-45.5752,-72.0662,35.55,69,0,2.3
181,Tiksi,RU,2021-07-11 10:33:00,71.6872,128.8694,38.8,68,99,16.11
182,Bambous Virieux,MU,2021-07-11 10:33:13,-20.3428,57.7575,77.25,53,40,17.27
183,Tarko-Sale,RU,2021-07-11 10:39:47,64.9225,77.785,60.85,36,33,8.46
184,Victoria,HK,2021-07-11 10:32:09,22.2855,114.1577,90.32,72,53,7.0
185,Labuan,MY,2021-07-11 10:39:47,5.2767,115.2417,84.56,79,20,3.0
186,Skibbereen,IE,2021-07-11 10:39:48,51.55,-9.2667,62.4,71,100,12.03
187,Suda,RU,2021-07-11 10:39:48,59.1525,37.5582,80.71,30,2,5.46
188,Hualmay,PE,2021-07-11 10:32:55,-11.0964,-77.6139,62.29,86,91,5.75
189,Bacungan,PH,2021-07-11 10:39:48,9.9106,118.7022,81.3,79,51,5.66
190,Henties Bay,NA,2021-07-11 10:37:42,-22.116,14.2845,62.85,64,2,8.3
191,Caravelas,BR,2021-07-11 10:34:11,-17.7125,-39.2481,70.38,79,18,3.83
192,Rosario Do Sul,BR,2021-07-11 10:39:49,-30.2583,-54.9142,54.36,96,6,5.06
193,Mahebourg,MU,2021-07-11 10:33:31,-20.4081,57.7,77.29,53,40,17.27
194,Yar-Sale,RU,2021-07-11 10:37:32,66.8333,70.8333,64.76,38,20,16.04
