City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Colares,PT,38.7992,-9.4469,84.33,52,20,21.85,few clouds
106,Cabo San Lucas,MX,22.8909,-109.9124,81.52,60,1,12.66,clear sky
107,Emerald,AU,-23.5333,148.1667,53.74,55,0,0.0,clear sky
108,Chuy,UY,-33.6971,-53.4616,49.5,56,0,4.05,moderate rain
109,Hiriyur,IN,13.9456,76.6192,75.4,75,100,16.62,heavy intensity rain
110,Barrow,US,71.2906,-156.7887,32.02,77,75,13.8,broken clouds
111,Kavaratti,IN,10.5669,72.642,82.42,80,100,22.26,light rain
112,Salamanca,ES,40.8333,-6.0,94.78,13,100,19.66,overcast clouds
113,Hanna,CA,51.6334,-111.9018,60.44,82,85,3.0,overcast clouds
114,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,94,20,4.61,few clouds
115,Derzhavinsk,KZ,51.1,66.3167,71.35,61,100,10.42,overcast clouds
116,Omsukchan,RU,62.5333,155.8,50.25,96,8,8.39,clear sky
117,Awbari,LY,26.5921,12.7805,107.83,8,0,12.62,clear sky
118,Honningsvag,NO,70.9821,25.9704,46.18,79,7,18.99,clear sky
119,Lima,PE,-12.0432,-77.0282,59.25,88,90,3.44,mist
120,Port Elizabeth,ZA,-33.918,25.5701,77.09,26,0,8.05,clear sky
121,Sao Filipe,CV,14.8961,-24.4956,71.92,77,100,4.92,overcast clouds
122,Tala,EG,30.6803,30.9429,101.82,22,0,15.05,clear sky
123,Klaksvik,FO,62.2266,-6.589,54.52,99,100,11.56,overcast clouds
124,Mosquera,CO,4.7059,-74.2302,53.69,82,40,4.61,scattered clouds
125,Marawi,PH,7.9986,124.2928,74.64,95,100,1.7,light rain
126,Erzurum,TR,40.0,41.5,73.08,37,92,7.52,light rain
127,Hasaki,JP,35.7333,140.8333,70.29,89,31,16.2,scattered clouds
128,Avarua,CK,-21.2078,-159.775,75.25,83,40,8.05,scattered clouds
129,Concordia,AR,-31.393,-58.0209,41.07,87,20,6.91,few clouds
130,Bethel,US,41.3712,-73.414,72.05,91,90,3.44,mist
131,Iskateley,RU,67.6803,53.1512,52.88,51,4,18.48,clear sky
132,Xam Nua,LA,20.4197,104.0439,70.27,90,52,2.64,broken clouds
133,Acari,PE,-15.4311,-74.6158,65.62,62,100,1.07,overcast clouds
134,Prince Albert,CA,53.2001,-105.7677,64.35,77,40,2.3,scattered clouds
135,Formosa Do Rio Preto,BR,-11.0483,-45.1931,81.86,40,13,6.96,few clouds
136,Lodja,CD,-3.4833,23.4333,98.82,13,100,2.57,overcast clouds
137,Vallenar,CL,-28.5708,-70.7581,58.17,60,100,2.93,overcast clouds
138,Muravlenko,RU,63.7898,74.523,60.12,39,14,8.59,few clouds
139,Kasungu,MW,-13.0333,33.4833,72.82,36,100,8.61,overcast clouds
140,Grindavik,IS,63.8424,-22.4338,61.56,82,40,16.11,scattered clouds
141,Staryy Nadym,RU,65.6118,72.6842,64.74,41,46,15.26,scattered clouds
142,Almaznyy,RU,48.0448,40.045,91.54,31,5,7.18,clear sky
143,Victoria,HK,22.2855,114.1577,88.32,79,87,8.99,overcast clouds
144,Coos Bay,US,43.3665,-124.2179,57.85,94,75,8.05,broken clouds
145,Illapel,CL,-31.6308,-71.1653,59.99,37,100,2.57,overcast clouds
146,Saint-Augustin,CA,51.226,-58.6502,63.54,64,100,5.23,overcast clouds
147,Carnarvon,AU,-24.8667,113.6333,62.67,59,21,8.05,few clouds
148,Port Alfred,ZA,-33.5906,26.891,73.56,32,0,8.66,clear sky
149,Saldanha,ZA,-33.0117,17.9442,62.65,60,1,8.05,clear sky
150,Semey,KZ,50.4111,80.2275,79.02,50,0,4.47,clear sky
151,Lorengau,PG,-2.0226,147.2712,82.11,78,65,9.28,broken clouds
152,Pisco,PE,-13.7,-76.2167,61.02,88,90,3.44,mist
153,Cidreira,BR,-30.1811,-50.2056,62.6,82,12,1.48,few clouds
154,Saint-Pierre,RE,-21.3393,55.4781,75.29,69,0,24.16,clear sky
155,Herat,AF,34.5,62.0,91.81,19,0,38.1,clear sky
156,Hithadhoo,MV,-0.6,73.0833,82.62,69,100,5.28,overcast clouds
157,Kholodnyy,RU,62.7167,147.95,55.92,80,45,10.54,scattered clouds
158,Sibenik,HR,43.7272,15.9058,89.26,43,0,15.01,clear sky
159,Muros,ES,42.7762,-9.0603,76.08,68,99,15.95,overcast clouds
160,Tasiilaq,GL,65.6145,-37.6368,48.36,97,100,14.0,light rain
161,Mandera,KE,3.9366,41.867,92.89,28,84,19.77,broken clouds
162,Berbera,SO,10.4396,45.0143,94.41,43,0,10.0,clear sky
163,Shimoda,JP,34.6667,138.95,74.1,88,0,10.4,clear sky
164,Thongwa,MM,16.7619,96.5278,82.56,87,81,11.59,light rain
165,Geraldton,AU,-28.7667,114.6,55.81,82,95,13.8,overcast clouds
166,Kununurra,AU,-15.7667,128.7333,66.18,63,67,0.0,broken clouds
167,Wattegama,LK,6.7989,81.4808,79.72,60,86,7.49,overcast clouds
168,Tabuk,PH,17.4189,121.4443,78.73,82,34,5.7,scattered clouds
169,Lodwar,KE,3.1191,35.5973,91.58,30,100,9.89,overcast clouds
170,Broome,US,42.2506,-75.833,66.67,79,100,1.99,overcast clouds
171,Chokurdakh,RU,70.6333,147.9167,55.63,84,100,6.38,light rain
172,Huaicheng,CN,23.9051,112.1931,82.71,74,100,2.08,overcast clouds
173,Yangjiang,CN,21.85,111.9667,81.28,85,100,4.65,overcast clouds
174,Waipawa,NZ,-41.4122,175.5153,41.63,76,100,1.41,overcast clouds
175,Zhigansk,RU,66.7697,123.3711,45.28,93,96,15.99,overcast clouds
176,Slave Lake,CA,55.2834,-114.769,62.58,63,1,13.8,clear sky
177,Qinhuangdao,CN,39.9317,119.5883,75.22,90,100,3.69,overcast clouds
178,Nanakuli,US,21.3906,-158.1547,78.75,76,75,0.0,broken clouds
179,Tessalit,ML,20.1986,1.0114,104.05,18,10,13.11,clear sky
180,Ust-Barguzin,RU,53.45,108.9833,54.88,76,37,3.53,scattered clouds
181,Gorontalo,ID,0.5412,123.0595,76.14,95,41,2.46,scattered clouds
182,Vardo,NO,70.3705,31.1107,46.33,74,7,9.69,clear sky
183,Albanel,CA,48.8832,-72.4487,68.14,82,99,4.61,overcast clouds
184,Hualmay,PE,-11.0964,-77.6139,63.3,84,72,4.47,broken clouds
185,Hambantota,LK,6.1241,81.1185,80.94,89,40,13.8,scattered clouds
186,Gerash,IR,27.6652,54.1371,109.54,9,9,14.65,clear sky
187,Ponta Do Sol,PT,32.6667,-17.1,79.72,72,3,2.15,clear sky
188,Lake Charles,US,30.2131,-93.2044,80.98,95,40,5.75,mist
189,Kindu,CD,-2.95,25.95,95.97,15,99,4.56,overcast clouds
190,Mar Del Plata,AR,-38.0023,-57.5575,49.08,63,0,1.99,clear sky
191,Iqaluit,CA,63.7506,-68.5145,49.73,71,75,8.99,broken clouds
192,Wagga Wagga,AU,-35.1167,147.3667,46.6,100,100,5.75,overcast clouds
193,Aripuana,BR,-9.1667,-60.6333,81.64,38,14,5.7,few clouds
194,Hilo,US,19.7297,-155.09,72.81,89,1,4.61,clear sky
195,Bonavista,CA,48.6499,-53.1147,62.6,93,100,8.61,overcast clouds
196,Dudinka,RU,69.4058,86.1778,54.97,43,94,11.39,overcast clouds
197,Vao,NC,-22.6667,167.4833,70.03,64,0,24.83,clear sky
198,Vestmanna,FO,62.1564,-7.1664,52.72,100,90,6.91,overcast clouds
199,Upernavik,GL,72.7868,-56.1549,39.22,66,21,10.54,few clouds
200,Shache,CN,38.4167,77.2406,96.4,16,0,3.56,clear sky
201,Camacari,BR,-12.6975,-38.3242,76.77,62,13,8.48,few clouds
202,Longyearbyen,SJ,78.2186,15.6401,44.44,70,75,10.36,broken clouds
203,Tawang,IN,27.5833,91.8667,57.36,97,94,0.72,overcast clouds
204,Cacoal,BR,-11.4386,-61.4472,80.02,39,15,4.07,few clouds
205,Portland,US,45.5234,-122.6762,59.74,86,40,1.01,scattered clouds
206,Baykit,RU,61.67,96.37,69.89,48,100,2.73,overcast clouds
207,Maniitsoq,GL,65.4167,-52.9,44.44,75,99,5.82,overcast clouds
208,Puerto Ayora,EC,-0.7393,-90.3518,71.55,88,56,5.99,broken clouds
209,Marrakesh,MA,31.6315,-8.0083,102.27,22,20,4.61,dust
210,Waingapu,ID,-9.6567,120.2641,75.63,84,48,9.1,scattered clouds
211,Jalu,LY,29.0331,21.5482,100.18,25,0,11.77,clear sky
212,Fereydun Kenar,IR,36.6864,52.5225,82.71,57,23,8.77,few clouds
213,Wiang Sa,TH,8.6359,99.3666,83.82,95,100,5.48,overcast clouds
214,Rio Gallegos,AR,-51.6226,-69.2181,33.85,75,0,19.57,clear sky
215,Volsk,RU,52.0333,47.3833,82.02,38,5,13.35,clear sky
216,Tabory,RU,58.5198,64.5495,68.16,38,18,7.25,few clouds
217,Hays,US,30.0502,-98.0336,77.14,93,100,7.02,overcast clouds
218,Provideniya,RU,64.3833,-173.3,50.11,84,99,4.16,overcast clouds
219,Changchun,CN,43.88,125.3228,80.56,89,2,6.53,clear sky
220,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,89,0,8.05,clear sky
221,Aykhal,RU,66.0,111.5,44.87,91,100,7.67,overcast clouds
222,Teguise,ES,29.0605,-13.564,71.82,83,79,5.75,broken clouds
223,Nivala,FI,63.9167,24.9667,79.68,84,100,7.54,overcast clouds
224,Ancud,CL,-41.8697,-73.8203,46.22,87,100,4.65,overcast clouds
